,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
2840,9, ,1,   ,   ,   ,2,3,9,8052
2841,12,3,10,010,   ,008,1,1,1,32062
2842,12,3,9,   ,   ,   ,2,3,8,32062
2849,10,5,13,004,   ,007,1,1,1,4838
2863,9,3,16,   ,   ,   ,2,3,10,18927
2898,11,4,14,002,002,010,1,1,1,5747
2899,11,6,7,   ,   ,   ,1,3,5,5747
2900,11,6,7,   ,   ,   ,2,3,5,5747
2942,9,5,9,010,   ,007,1,1,1,15837
2943,9,6,9,002,002,007,2,1,1,15837
2944,9, ,2,   ,   ,   ,2,3,9,15837
2963,12,5,17,   ,   ,   ,2,3,10,7636
2964,11,4,12,   ,   ,   ,1,2,2,4513
2965,11,3,11,   ,   ,   ,2,2,2,4513
2966,11,5,6,   ,   ,   ,2,3,8,4513
2996,11,2,17,   ,   ,   ,2,3,10,3874
2997,11,3,12,   ,   ,   ,1,2,2,3874
3004,12,3,16,   ,   ,   ,1,3,10,4814
3005,12,2,15,   ,   ,   ,2,3,10,4814
3006,12,3,9,002,002,002,1,1,1,4814
3009,10,6,11,003,002,009,1,1,1,2794
3010,10,6,10,001,002,006,2,1,1,2794
3011,10, ,3,   ,   ,   ,1,3,9,2794
3012,10, ,2,   ,   ,   ,2,3,9,2794
3032,10,2,17,   ,   ,   ,2,3,10,2425
3033,10,5,10,   ,   ,   ,2,3,8,2425
3034,10,3,11,   ,   ,   ,2,3,8,2425
3035,10, ,4,   ,   ,   ,2,3,9,2425
3036,10,4,11,004,002,007,1,1,1,2425
3037,12,5,17,   ,   ,   ,1,3,10,15019
3038,12,6,11,   ,   ,   ,2,2,3,15019
3072,9,5,11,005,002,010,1,1,1,13122
3073,9,5,12,010,   ,008,2,1,1,13122
3074,9,5,5,   ,   ,   ,2,3,8,13122
3075,9,3,5,   ,   ,   ,1,3,8,13122
3109,12,3,8,003,002,010,1,1,1,44497
3113,12,5,14,011,002,008,1,1,1,16833
3114,12,3,11,004,002,006,2,1,1,16833
3115,12,5,6,004,002,008,1,1,1,16833
3133,12,5,12,005,002,010,2,1,1,8729
3134,12,6,12,010,   ,007,1,1,1,8729
3135,12,5,5,   ,   ,   ,1,3,8,8729
3136,12, ,4,   ,   ,   ,2,3,9,8729
3137,10,5,16,   ,   ,   ,1,3,10,2861
3138,10,6,15,   ,   ,   ,2,3,10,2861
3139,10,6,8,002,   ,008,1,1,1,2861
3140,10,3,8,   ,   ,   ,2,3,8,2861
3143,11,5,11,005,002,008,1,1,1,3069
3144,11,6,10,002,002,007,2,1,1,3069
3145,11, ,3,   ,   ,   ,2,3,9,3069
3146,11, ,3,   ,   ,   ,2,3,9,3069
3159,9,5,16,   ,   ,   ,1,3,10,7841
3160,9,3,16,   ,   ,   ,2,3,10,7841
3167,12,3,15,   ,   ,   ,1,3,10,12168
3178,11,5,10,011,002,010,1,1,1,5213
3179,11,5,10,   ,   ,   ,2,2,2,5213
3180,11, ,3,   ,   ,   ,1,3,9,5213
3181,11, ,2,   ,   ,   ,2,3,9,5213
3205,10,5,13,002,002,007,1,1,1,2926
3206,10,3,12,002,002,008,2,1,1,2926
3207,10,4,5,   ,   ,   ,2,2,3,2926
3208,10,3,5,   ,   ,   ,1,3,8,2926
3209,10,5,6,   ,   ,   ,1,3,6,2926
3222,10,3,17,   ,   ,   ,1,3,10,2041
3223,10,3,17,   ,   ,   ,2,3,10,2041
3233,11,4,14,   ,   ,   ,1,3,8,7012
3276,11,3,9,010,   ,010,1,1,1,4526
3277,11,3,9,011,002,010,2,1,1,4526
3278,11, ,2,   ,   ,   ,2,3,9,4526
3301,12,5,10,011,002,004,2,1,1,9843
3302,12,5,8,011,002,006,1,1,1,9843
3303,12,5,5,   ,   ,   ,2,3,5,9843
3304,12, ,2,   ,   ,   ,2,3,9,9843
3305,12, ,1,   ,   ,   ,2,3,9,9843
3321,9,6,10,005,002,007,2,1,1,15125
3327,11,3,9,002,002,007,1,1,1,4593
3328,11,5,7,007,002,008,2,1,1,4593
3329,11, ,1,   ,   ,   ,2,3,9,4593
3364,12,6,12,011,002,007,1,1,1,22211
3365,12,6,11,009,002,008,2,1,1,22211
3366,12, ,3,   ,   ,   ,1,3,9,22211
3375,10,5,8,004,   ,008,1,1,1,5696
3376,10,6,9,   ,   ,   ,2,2,4,5696
3377,10, ,1,   ,   ,   ,1,3,9,5696
3390,10,5,11,003,002,007,1,1,1,3727
3429,11,4,10,   ,   ,   ,2,3,5,2973
3436,12,3,16,   ,   ,   ,1,3,10,2914
3437,12,2,17,   ,   ,   ,2,3,10,2914
3438,10,4,15,   ,   ,   ,1,3,10,2913
3439,10,3,9,004,002,007,1,1,1,2913
3440,10,3,9,   ,   ,   ,2,3,8,2913
3441,10, ,3,   ,   ,   ,1,3,9,2913
3442,10,3,13,002,002,006,2,1,1,3842
3443,10,6,6,   ,   ,   ,2,3,8,3842
3451,9,3,16,   ,   ,   ,2,3,10,9575
3454,12,2,17,   ,   ,   ,2,3,10,13427
